state,stressor,year,January-March,April-June,July-September,October-December
Michiga&n,&Ot#he)r,2018,12,12.9,19.5,2.4
Michigan,Other,2019,12.2,NA,2.1,1.1
Michigan,Ot-her,2020,0.4,3.2,5.9,3.6
Mi!chigan,Other,2021,0.7,0.9,NA,NA
Michigan,O)t-he.r p$es-ts/par!as)it#es,2015,3.1,13,16.3,4.1
Michig&an,O%the^r pes%ts/pa#ra_si&te@s,2016,0.2,9.3,25.1,1.5
Mich@igan,O.ther. pests_/p)a#r.a%si*t)es,2017,0.3,9.8,11.9,13.6
Michigan,Other (pests/parasites,2018,3.5,16.7,13.8,31.2
Michigan,O@ther pests/par-asites,2019,5.8,NA,16.4,9.7
Mi!ch!igan,Other$ _pests/parasi(tes,2020,0.5,11.5,14.5,5.4
Michi*gan,Othe#r pes#ts/pa&r!asi#tes,2021,NA,2.7,NA,NA
Michigan,Pe.s#ticide%s,2015,1.6,9.1,13.7,4.1
_Mich+igan,P-est%ici*d#e!s,2016,0.5,16.5,9.1,2.7
Michigan,P)esti-c^id+e*s,2017,1.9,1.7,13.7,23.6
M+ic$higan,Pes*ticides,2018,7.4,11.6,23.8,15.1
Mich+i_gan,(Pestici(d%es,2019,0.2,NA,7.3,8.3
Mich!ig$an,Pesticides,2020,0.2,6,8.9,3.1
%Michigan,P)estici*des,2021,NA,3.5,NA,NA
Mi(chi)gan,Unkno+wn,2015,4.6,3.1,8.8,3.7
Michi*gan,U#nkn)own,2016,10.3,1.1,2.7,0.6
Michigan,Unkno#wn,2017,3.9,0.6,2.9,2
Michigan,.Unkn!o_w#n,2018,5.9,10,18.6,6.6
Michigan,#Unkno^wn,2019,0.7,NA,1.5,3.8
Michigan,-Un%known,2020,0.7,1.1,1,4.3
Michi.gan,Unknow)n,2021,1.6,NA,NA,NA
Michigan,&Va%rro@a_ m@ites,2015,14.3,26.9,44.6,30.2
Mi(chigan,Varro&a m!i^tes,2016,5.4,54.1,64.1,23.9
Michi.gan,V)ar*r!oa& mi#te^s,2017,7.9,24.4,56.8,53.8
M!ichigan,Va#r)ro+a m%it%es,2018,21.4,65.7,92.4,52
Michigan,Va*rroa ^mites,2019,18.2,NA,42.7,37
M*ichigan,Var&roa m_ites,2020,8.1,38,53.1,42.9
#Michigan,^Var$ro^a +mi&t@es,2021,2.3,45.1,NA,NA
Minnesota,$Di_s_es^a^ses,2015,NA,1.4,7.4,8.4
Minn(esota,Dise$sa+ses,2016,0.1,6.5,6.2,3.1
Minnesota,Dis*esases,2017,0.1,2.4,1.8,4.2
Minnesota,D-ises^as!e%s,2018,1.9,6.7,6,4.2
Minnes#ota,D&isesas)es,2019,1.9,NA,4,1.2
Minneso#t$a,Disesases,2020,NA,0.7,NA,1
Minnesota,Di^se-sases,2021,NA,NA,NA,NA
Mi+nnesota,Oth-er,2015,1.6,10.1,7,3.8
Minnesota,O-t@her,2016,7.1,8.6,17.8,5
Minnesota,Ot^her,2017,8.8,6.6,11.6,7.2
Minne.sota,^Othe^r,2018,1.1,7.8,9.3,3.8
Minnes)ota,$Other,2019,2,NA,6.6,1.8
#Min)nesota,Ot$her,2020,4.3,4.4,2.2,1.8
M&innesota,#O+ther,2021,2.8,1.1,NA,NA
Minnesota,Other p)ests/$paras@it-es,2015,0.1,6.2,14.6,8.7
Minnesota,O$t@her &pests/)parasi&tes,2016,6.9,6,14.6,7.7
Minnesota,Other pe@st$s/%para%sites,2017,0.4,4.7,4.7,4
Minn!esota,Othe#r- p-es)ts/)par*a%s(ites,2018,0.7,8.5,12.4,5.2
Minnesota,Othe*r pe$sts/)par#asi(tes,2019,0.2,NA,8.2,7.8
Minnesota,_Oth*e@r- p+est!s/para#si(tes,2020,NA,2.9,3.7,1.6
Minnesota,Ot.her pe#sts@/par#asites,2021,0.6,NA,NA,NA
^Min.nesota,Pesticides,2015,0.1,16.5,27.4,25
Minnesota,Pesticides,2016,11.3,18.2,22.4,17.6
Minn!esota,Pes+ti+ci@des,2017,1,13.3,9.4,39.8
M!innesot+a,_P_estici_des,2018,0.6,5.6,28.4,7.9
Min^nesota,Pestic#ide!s,2019,NA,NA,13.4,6.1
Minnesota,P#es@ticides,2020,0.2,8.8,8.2,19.2
Minneso&ta,_Pesticides,2021,2.5,12.6,NA,NA
Minnesota,&Un!know@n,2015,2.1,9.3,7.2,8.9
#Minn&esota,_Unknown,2016,14.2,7.6,8.9,8.9
Minn(esota,Unkn(o_wn,2017,5.8,2.2,2.3,3.1
M!inne.sota,Unk(now^n,2018,1.6,21.7,8.1,2.4
$Min(nes+ota,Unkno%wn,2019,0.8,NA,2.1,4
Min!nesota,U#nkn$own,2020,0.3,0.4,1.7,2.6
M@innesota,Unknown,2021,NA,1,NA,NA
Minnesota,Varr%oa mi.tes,2015,1.4,25.4,33.3,43.6
Mi_nnesot$a,Va(rro%a% -mites,2016,11.8,20.8,47.2,27.5
Minnesot!a,Var@roa mites,2017,2.1,21.4,39.8,62.9
Mi@nnesota,Varro+a +mit@es,2018,2,12.2,44.5,28.4
@M.inn(esota,V^a+r*roa mites,2019,1.3,NA,54.9,37.3
Minnesota,V+ar.roa. mit)es,2020,3.5,20.6,46.3,17.2
M^innesota,Varro#a^ mites,2021,6.3,12.9,NA,NA
@Mi$ssis&sippi,D)i_s#e&sases,2015,0.1,0.3,NA,0.3
Missi&ssippi,.Di+se&sase#s,2016,NA,1.2,1.6,0.1
Mississippi,Disesases,2017,NA,NA,0.7,1.4
Mississippi,D^i(se%sa-se(s,2018,NA,NA,NA,0.2
M#ississippi,Di*s@esas!es,2019,64.8,NA,2.4,4.1
Miss!i!ssippi,Dis%esases,2020,0.3,NA,NA,NA
Miss(issip_pi,Dis%e^s$ases,2021,NA,3.2,NA,NA
Mississi%ppi,Oth$er,2015,1.2,2.3,3.8,0.7
Mississippi,-Other,2016,0.2,1.2,5,2.1
Mississip-pi,Other,2017,0.5,2.9,18.1,1.5
Mis@sissippi,Oth@er,2018,2.4,5.1,7.5,3
Mississipp&i,$Other,2019,1.9,NA,4,10.5
Miss*issippi,!Ot*her,2020,14.5,8.4,3.3,7.8
Mississippi,)Othe(r,2021,10.6,3.2,NA,NA
Mississippi,Other p*ests/p#ar!as$ites,2015,8.2,6,2.2,2.5
Miss%i$ssippi,Other pe(sts/*parasit.es,2016,1.1,2.3,3.5,6
Mis&sissippi,Other pe_s&ts/.par.asi$tes,2017,35.3,0.6,4.8,6.1
Mississippi,Oth#er pes&ts/p%ara*sites,2018,4.8,24.1,8.6,6.7
Mississippi,@Ot!h)e!r pes#ts/parasites,2019,71,NA,45.6,38
Mississippi,Oth$er pests/-paras*ite@s,2020,50.9,36.8,41.8,1.5
Mississip_pi,O*ther pest$s/pa*ra)sites,2021,3.8,11.3,NA,NA
Missis.sippi,Pest$ici^des,2015,2.1,0.1,1.1,NA
Mississipp@i,Pestici.d.es,2016,2,2.7,1.8,NA
Mississippi,Pesticid%e+s,2017,0.1,1.3,0.2,1.5
Mississippi,P#esti$cide-s,2018,0.6,0.2,0.5,0.5
^Mississ*ippi,&Pesticides,2019,48.4,NA,25.4,13.9
@Miss)issippi,Pest&ic^id$es,2020,1.8,0.9,NA,0.6
Mississip@p%i,Pestici%d&es,2021,1,0.5,NA,NA
Mississ*i%ppi,-Unknown,2015,1.1,1.7,1.4,1.3
Mississippi,U(nk%no^wn,2016,8.8,0.1,4.7,2.8
.Mis!sissipp_i,Un+kn^own,2017,1.4,0.5,0.7,4.1
Mis.sissip^pi,Unknown,2018,34.4,2.1,7.2,4.5
M#issis%si!ppi,Unknow%n,2019,5.5,NA,5.1,5.2
Mi$ssissipp!i,U!n-k!no.w&n,2020,3.6,0.2,6.2,5.9
M$is-sissippi,_Unkno&wn,2021,4.7,9.9,NA,NA
Mississi^ppi,V*arr#oa !mit)es,2015,9.4,10.1,45.5,10.6
Mississippi,Va#rroa& m.it#es,2016,8.5,12.3,27.5,21.9
*Mississipp^i,Varr@oa. mites,2017,41.7,14.4,71.1,19.3
Missis$sippi,Var*ro)a mites,2018,7,44.4,25.2,26.5
Mississippi,V&a^rr-o!a mi(te&s,2019,14.6,NA,59.1,41
Mis%sissippi,Varr%oa- mit&es,2020,58.6,51.2,45.7,7.8
Miss(issipp&i,Var*roa mites,2021,9.7,46.7,NA,NA
Missouri,D_isesas-es,2015,2.2,3.1,3,3.3
Missour@i,^Disesas$es,2016,0.3,0.7,1,0.2
Missouri,^Dises)as%es,2017,0.5,3,2.8,1
Missouri,Dise_sases,2018,0.3,0.8,1.2,1.1
Missouri,Dise(s.ase#s,2019,1.9,NA,0.4,0.2
Missouri,Disesases,2020,0.9,5.7,NA,NA
%Missouri,Dis)es@ase_s,2021,NA,1.3,NA,NA
Missouri,O#t)h.er,2015,11.8,1,2.1,0.8
Miss)ouri,Oth@er,2016,4,1.6,3.1,1.5
Missouri,Oth$e$r,2017,5.4,5.1,1.6,4.2
M#isso*uri,Oth(er,2018,26.5,8.3,7.5,1.9
Misso^u+ri,+O!the@r,2019,5.4,NA,2.1,1.5
+Missouri,O$the-r,2020,2.1,11.2,2.4,3.1
@Mi#ssouri,%Oth#e_r,2021,13.1,5.8,NA,NA
Missouri,_Other_ p&ests/par-asites,2015,6,6.2,11.7,6
Missouri,Oth&e_r )pests/par$asit.e&s,2016,6.2,1.6,7.7,12.6
Missour_i,Othe.r +pes*ts/pa_rasites,2017,15.2,8.7,36,14.2
Misso#uri,-O@t&h!er (p@es*t+s/$p+arasit*es,2018,77.8,13.2,16.9,10
Missouri,Ot&her pests/parasites,2019,2.3,NA,7.1,5.9
Miss%ouri,Other pests/paras@ites,2020,3.4,1.5,8.8,7.9
Missouri,Other pe.s&ts/parasi%tes,2021,5.6,6.2,NA,NA
Mis+souri,Pestici)d$es,2015,4.2,1.6,2,0.1
Missouri,P.e&st$icid*e*s,2016,5.4,0.1,0.1,NA
Missouri,^P)es&tic@id*es,2017,2.6,1,34,0.1
Missou@ri,.P*estic@ides,2018,3.5,1.5,1.2,2.3
Miss!ou*ri,P.est@icides,2019,0.5,NA,0.8,0.1
Missour!i,Pestici$de+s,2020,1.6,3.1,1.1,0.5
Missouri,Pes%ticide+s,2021,0.8,0.6,NA,NA
Missouri,_U&nkno_wn,2015,6.3,7.4,1.4,1.5
Missouri,U@nknown,2016,5.4,1.2,0.7,0.7
Missour(i,Unkno^w)n,2017,5.3,1.8,35,1.6
M)issou@ri,Unknown,2018,23.9,2.6,1.1,4.1
Missouri,@U-nkn)own,2019,3.2,NA,0.6,0.4
Missouri,Unk-nown,2020,3.4,1.9,2.4,0.8
Missour$i,Unknown,2021,10.3,4.6,NA,NA
(Missour)i,Va)rroa m%ites,2015,13.1,5.1,11.1,2.8
Miss-ouri,V*arroa m-i*tes,2016,17.8,17.2,13.3,16.1
Missouri,Varroa mi!tes,2017,16.2,13.8,77.7,16.7
Missouri,)Va_rroa mites,2018,86,11.8,18.2,37
M+i%s@sou_ri,Varroa m(i-tes,2019,5.4,NA,18.4,19.2
Miss^our)i,+Varroa mit_e!s,2020,8.4,17.4,30.8,13.1
Mi#ssouri,Varroa mites,2021,16.6,15.4,NA,NA
Mon*tana,Disesases,2015,0.6,0.8,10.7,14.4
.M$ont^ana,D^ise@sase(s,2016,NA,4.5,7,32.9
Montana,Disesases,2017,NA,4.2,6.9,3.1
$Mon)tana,Di(sesases,2018,NA,2.8,18,5.6
!M.ontan!a,Dis*es!ases,2019,NA,NA,10.6,NA
Mo(ntana,Di$sesa!s#e_s,2020,NA,5.9,0.9,11.6
Montana,Di-ses)ases,2021,NA,1.5,NA,NA
Montan-a,Other,2015,2.3,1.6,6.4,3.2
Mo_ntana,Other,2016,0.2,6.9,6.1,33.3
Montan+a,!Other,2017,5.6,4.4,19.1,5.3
@Montana,O%ther,2018,0.1,1,21.8,2.9
M@ontan+a,*Other,2019,0.8,NA,4.1,2.8
Montan&a,&O-t.her,2020,0.5,4.6,8.6,4.4
Montana,Othe)r,2021,NA,5.2,NA,NA
M)ont_ana,.Oth*er* p+e%sts/parasite(s,2015,0.5,0.9,16.4,19.8
Mont(ana,Oth$e-r _pes*t^s/para^sites,2016,NA,7.1,8.8,39.4
Montana,.O.ther pests/para_sit!es,2017,13.6,3.8,6.7,4.1
Mont@ana,!O$ther pe+sts@/p-ar-asi!tes,2018,NA,4.3,18.5,13
Montana,(O(t_her _pests/para^sit)es,2019,NA,NA,10,1.8
Mont*ana,Other p-est*s(/p!ara$si$tes,2020,NA,5.6,2.1,11.6
M$ont*ana,+Other pest^s/parasites,2021,NA,NA,NA,NA
^Montana,Pe*sti@cid%es,2015,0.8,5.3,2.3,11.4
Monta)na,.Pe-st@ici*d!es,2016,0.6,3.9,6.9,13.7
Montana,Pesticides,2017,2.3,3.3,2.2,5.9
Montana,P%estici)d*es,2018,26.1,1.3,6.8,17.5
*Montana,Pest%i!cides,2019,0.8,NA,6.1,0.8
Mont)a)na,Pestic)ides,2020,NA,NA,NA,2.6
Mo*ntana,Pestic&ide@s,2021,NA,13.3,NA,NA
Mon(tana,U(nknow%n,2015,7.9,NA,5.3,13.9
Montana,_U(nknown,2016,0.1,0.2,1.4,33.1
M@onta^na,Un*known,2017,0.1,0.6,2,4.1
Mo@n%tana,Unkn+ow&n,2018,0.1,0.8,2.7,NA
Montana,+U.nknown,2019,1.1,NA,1,0.3
Montana,U&n@known,2020,NA,0.3,1.2,6
Mont@ana,Un%known,2021,NA,3,NA,NA
Monta-na,Varroa $mit.es,2015,8.7,9,52.5,35.5
Mon%ta$na,(Varroa^ mites,2016,0.8,30.3,41.9,59.1
$Montana,Varroa m#ites,2017,34,24.3,42.3,54.2
Mon_tana,Va+rro*a mit+es,2018,28.9,41.3,43.8,40.7
Montana,.Va-rroa^ mi+tes,2019,15.1,NA,28,15.7
Montana,Var&roa# mites,2020,4,12.1,36.6,15.1
Mont.ana,(Var+r+o&a mi*tes,2021,NA,20.8,NA,NA
Nebraska,D&is+es)ases,2015,0.1,NA,10.9,0.2
Nebraska,Dis_esa.ses,2016,0.1,1,0.1,0.2
Neb*raska,Di%sesa*ses,2017,0.4,0.7,0.4,4.1
Nebr_aska,Di@s-es.a&ses,2018,NA,0.4,5.9,0.7
^Nebrask(a,Dises.a&ses,2019,32,NA,1.8,NA
Nebraska,Di(se.sases,2020,0.1,4.4,3.3,0.5
Nebraska,D(isesa$ses,2021,NA,NA,NA,NA
Nebraska,Other,2015,0.3,2.1,4.6,0.4
Nebraska,O+ther,2016,0.8,1.1,1.6,0.4
Nebras$ka,Other,2017,2.2,8.9,9.2,4.3
Nebras.ka,Other,2018,1.7,7.5,4.3,2.9
.Ne&braska,%Ot%he+r,2019,2.2,NA,7.2,2.8
Nebrask-a,O&ther,2020,0.3,0.1,21.4,1.4
Nebraska,Othe+r,2021,1.7,3.2,NA,NA
Nebraska,Other +pest@s/pa!rasite$s,2015,0.1,6.9,10.3,NA
N+ebraska,Ot^her$ pe)sts+/%pa&ra#s*it+es,2016,0.4,0.1,1.6,1.4
Nebraska,Other #p^e@st^s/p(aras+it*es,2017,0.3,67.2,6.6,3.3
Nebr(aska,Ot-her p+es)ts/%para&sites,2018,1.6,0.4,3.2,0.7
Nebraska,Oth!er pe^sts/parasi@t.es,2019,1.3,NA,2.7,1
Nebras)ka,O(ther( !pest@s/^paras*ites,2020,0.1,1,0.8,NA
Nebrask_a,Oth%er@ pests/par!asites,2021,NA,NA,NA,NA
Nebraska,Pesticid-es,2015,0.5,1.4,13.2,0.3
Nebraska,Pesticide*s,2016,0.2,3.8,10.2,1.2
Ne(braska,*P*e_stici^des,2017,NA,66.6,7.1,2.1
Nebraska,Pesticid.es,2018,2.8,3.2,6.5,0.3
Nebraska,Pes)ticides,2019,0.8,NA,2.8,3.5
Ne-braska,@Pe%st!icides,2020,NA,10.9,19.8,NA
Nebr(aska,!Pe&stic-ide%s,2021,1.5,7.4,NA,NA
Nebras#ka,U!nkno)wn,2015,3,1.5,4.3,1.7
Nebr^aska,$Unknow(n,2016,0.4,3.5,0.1,1.5
Nebras*ka,Unkno#wn,2017,1.2,0.5,0.2,11.5
Nebraska,Un+known,2018,0.9,4,4,1
Nebrask^a,U*nkn)o-w%n,2019,0.1,NA,1.9,6.4
Nebr!aska,@Unkno^wn,2020,0.8,2.6,NA,6.3
N-ebras%ka,Unkn.ow%n,2021,0.7,1.3,NA,NA
Nebr$ask@a,Varroa) mites,2015,5.9,6.5,33.2,15.5
Nebraska,Va#rr-oa mi!tes,2016,1.7,6.1,20.4,10.5
Neb_raska,Varro@a. mi#tes,2017,14.9,73.8,15.1,26.6
Nebras$k-a,Varroa) mit*e&s,2018,4.5,3.9,24.1,3
N&ebraska,Varroa@ mites,2019,32.3,NA,29.2,5.8
Nebraska,Varro!a) mi-tes,2020,2.2,15.8,23.4,3.6
N^eb%raska,Varr(o)a $m&ites,2021,NA,17.4,NA,NA
Ne&w_ Jersey,Dis%esases,2015,30.4,0.3,0.1,NA
New J$ersey,D#i#sesa@ses,2016,0.2,0.2,1.2,0.4
New Jersey,Di+se@s-as!e%s,2017,0.3,2.3,NA,4.4
New Jersey,D%is-es@a.ses,2018,NA,NA,0.2,0.1
*New Jersey,Di^sesases,2019,NA,NA,0.3,NA
New Jersey,+Dis)e@sa*ses,2020,0.5,22.1,NA,0.5
New (Jersey,Disesase-s,2021,1,NA,NA,NA
New Je&r&sey,#Other,2015,19.5,1,1.1,0.4
New Jersey,O!ther,2016,1.2,0.2,1.3,3.4
New J#erse@y,Oth#er,2017,0.8,0.3,0.4,3.3
New Jersey,Ot(her,2018,3.8,3.4,1,5.4
New Jer-sey,#Other,2019,3.5,NA,0.5,1.3
New Jersey,Other,2020,3.2,22.3,NA,0.2
New Jerse&y,Other,2021,1.2,1.7,NA,NA
New Jersey,O)ther +pests/p!ara.s@ites,2015,13.2,3.6,1,2.2
%New Jersey,Ot+her pes#ts/parasit*e+s,2016,0.8,0.9,7.1,11.3
New Jersey,Oth(e(r pest_s/p@a.rasit^e$s,2017,0.7,5.4,2.9,6.8
Ne*w Jersey,O+th(e%r^ pests^/paras!ites,2018,1.9,3.3,5.1,3.2
New Jersey,)Other+ pe#st_s/p.ar%asites,2019,4.4,NA,2.3,0.9
N#ew Jersey,Ot#h+er% pests/pa&ra^site+s,2020,2.9,0.8,5.6,2.1
Ne@w Jerse+y,O)ther p(ests/)pa$rasit.es,2021,1.5,5.3,NA,NA
New Jersey,@P#esti*cides,2015,11.1,26.1,NA,0.4
New Je(rsey,-Pestic&id_es,2016,0.4,NA,8.5,1.9
Ne$w -Jersey,Pes*ticides,2017,0.1,1.9,0.8,4.4
New Jer^sey,Pes^ticides,2018,0.4,0.1,0.1,NA
New+ Jer_sey,Pesticide^s,2019,NA,NA,0.2,NA
Ne*w Jersey,P-esti(c$i@des,2020,0.1,0.1,16.3,0.6
New J%ersey,)Pe)stic*ides,2021,1.3,2.6,NA,NA
New Je@rsey,)U+nknown,2015,16.7,2.4,0.7,1.2
New %Jersey,Unknown,2016,8.2,0.3,0.3,8.6
N.ew Jersey,Un-known,2017,0.6,0.7,1.9,NA
New Jersey,Un)k#no_wn,2018,0.8,0.1,0.4,0.3
Ne&w Je^rsey,^Unkno@w!n,2019,0.6,NA,0.1,0.5
New +Jersey,Unkn_o+wn,2020,2.3,0.1,NA,0.7
Ne!w Jersey,U!nknown,2021,0.8,1.3,NA,NA
New Jerse_y,V!arroa mites,2015,40.1,52.5,7.2,7.7
New Je+rse_y,Varro#a mi(t_es,2016,5.5,11.9,20.2,28.6
N+ew J(ersey,+V.ar%r*oa mite+s,2017,16.3,24.1,10.7,18.9
New )Jersey,Var$r-oa m_i$te#s,2018,14.9,16.5,12.3,14
New Jersey,+Va@rroa -mites,2019,15.3,NA,26.1,2.5
N*ew -Jersey,Varr%o_a mi.tes,2020,9.4,7.2,21.7,6.8
New Jer@sey,@Var.roa mites,2021,18.7,11.4,NA,NA
New #M%exico,Dises^ases,2015,NA,15.5,55,0.2
New Mexico,*Disesa%ses,2016,31.5,12.1,55.2,7.2
N!ew M(exico,Dise#sa)s@es,2017,87.4,72.9,17.8,NA
New %Mex$ico,.Disesa+ses,2018,NA,0.3,NA,3.7
New Mexico,Di%sesase&s,2019,0.6,NA,0.9,0.4
New Mexico,D_isesases,2020,NA,0.3,NA,1
-New Me%xico,Dis#esa&ses,2021,NA,0.1,NA,NA
New Mexico,Othe#r,2015,1.3,0.4,55.5,0.6
New Mexico,Other,2016,1.5,8.2,1.7,0.8
_New Mexico,Other,2017,2,35.6,3.1,10
New M)exi$co,Other,2018,9.4,0.2,0.4,8
N_ew ^Mexico,Oth!er,2019,1.4,NA,0.8,2.6
N$ew Mexico,*Other,2020,0.7,0.4,0.5,2
New Mexic$o,+Other,2021,6.5,NA,NA,NA
New Mex-ic$o,Other) pests/p!a$r!as(it(e^s,2015,0.1,NA,55,0.3
N+e^w M#exico,Oth+er- pe-sts/p#arasi%te!s,2016,0.4,0.3,55.4,0.3
New Mexi!co,Ot@her @pests%/^par_asi*tes,2017,NA,0.6,3.3,0.3
New Mexi.co,Othe$r pests/!p*arasites,2018,0.5,0.1,NA,0.8
)New Mex.ico,Oth&er* pest#s/pa*rasi!te^s,2019,1.1,NA,29.1,0.3
New Mexico,Othe+r pests/-parasites,2020,NA,0.4,32.9,NA
$N^ew Mexico,Othe%r( _pes+ts&/paras&i*te&s,2021,0.1,NA,NA,NA
New Mexico,+Pest_ici+d@es,2015,0.2,5.9,58,8.4
!New Mex&ico,+Pesticid_e-s,2016,NA,2.5,24.1,NA
N%ew M-exico,&Pe(s%ti-ci.des,2017,NA,NA,13.6,10.3
&Ne@w Me!xi-co,Pes!ticid_es,2018,1.3,NA,12.3,0.1
New^ Me^x)ico,P&est(icides,2019,NA,NA,NA,NA
New^ !Mexi-co,Pe%sticide-s,2020,NA,0.4,NA,NA
New M%exi%co,Pes-tic$i*des,2021,NA,2.5,NA,NA
New Mexico,Unknown,2015,0.4,2.7,0.7,1.7
New Mexic+o,U(nkn.ow_n,2016,0.3,NA,0.7,0.3
N%ew% Mexico,Unkn+own,2017,NA,0.6,0.3,1
New Mexico,Un*known,2018,0.5,1,0.2,1.2
New Mexic(o,Unk(nown,2019,0.3,NA,NA,NA
New M(exico,Unkn#own,2020,0.2,0.1,NA,0.9
Ne)w Mex$ic)o,*Unkn*own,2021,1.9,NA,NA,NA
.New Me)xi)co,)Varr$oa m@i.tes,2015,17.1,38.8,61.2,30.9
!New M*exico,Varr-oa m%i&te$s,2016,69,59.1,59.5,46.2
New Mexic)o,V%a^rroa mites,2017,93.9,88.4,74.3,86.1
New Mex%ico,&Varroa _mite*s,2018,42.8,0.3,NA,81.3
New- Mexico,V@ar$r%oa m&it@es,2019,3.5,NA,39.5,5.2
New Mexi$co,&Var&r%oa $mite@s,2020,2.1,3,33.8,15.7
New Mexico,%Varro.a (mi^tes,2021,14.2,64.6,NA,NA
New York,D&is@esases,2015,0.5,4.5,5.7,0.8
New York,(Di_sesas-e-s,2016,1.5,0.9,5.5,3.6
New Yor*k,D(i#s_esases,2017,9.8,2.2,6.2,8
New Yor^k,*Disesases,2018,1.4,15.4,18.6,7.8
N@e)w York,-Di&sesa^ses,2019,1.7,NA,1.2,3
New York,D$is.esases,2020,NA,0.6,6.3,NA
New -York,Disesases,2021,0.6,0.5,NA,NA
New York,Othe*r,2015,12.4,3.3,8.8,0.4
New Yo*rk,O*the@r,2016,9.5,4.1,24.7,2.2
New* York,O*ther,2017,13.2,9.1,13.6,0.4
N&e.w York,_Ot+her,2018,8,17.3,22.9,7.8
New York,Ot-he%r,2019,7.7,NA,2.5,3.2
New$ Yo_r-k,Othe$r,2020,1.7,3.6,2.1,4.5
New York,Oth-er,2021,5.7,2.3,NA,NA
New York,Other! pes*ts/parasit)es,2015,2.6,12.5,14.3,2.2
New Yo#rk,Ot.her $pes-ts(/par-asites,2016,5.9,3.1,9,2.2
New York,$Othe#r ^pe-st^s_/p&ar.as+i)te#s,2017,9.4,2.2,19.8,12.7
New York,Oth&er pests(/*paras^ites,2018,11.9,20.3,20.6,4.5
New York,Ot&her( pests/par(asit_e@s,2019,2.5,NA,11.5,24.8
New York,Othe+r p)e.sts/_parasi&tes,2020,2.9,2.6,7.8,7.2
New Yor#k,Ot_her pests/par)asite&s,2021,3.9,3.9,NA,NA
New #York,Pes!t)ic%i(de*s,2015,4.4,4.4,17.1,0.9
New York,Pestici!des,2016,7.6,11.7,5.2,12.5
New York,Pesticides,2017,4.4,2.1,9.4,5.4
(New York,(P*esticides,2018,1.9,6,24.4,2.4
New York,P+es.tic_id&es,2019,1.7,NA,8.2,8.7
New Y*or(k,Pestici^des,2020,NA,0.2,3.3,NA
New Yor#k,Pe(st+icides,2021,0.5,1.7,NA,NA
New York,!Unknown,2015,8.3,1.1,1.5,6.2
Ne!w *York,Un_known,2016,2.6,3.8,2.6,2.1
New York,Unknown,2017,10.9,0.1,1.8,2.6
New York,Unkn&own,2018,6,3.6,10.2,0.7
@New York,Un(k#no!wn,2019,9,NA,3.8,4
-Ne&w York,Unkn!own,2020,7.7,0.6,1.1,4.1
New York,Unknown,2021,4.8,3.5,NA,NA
New York,&Var-roa (mite$s,2015,7.6,19.1,40,24.5
New Y^ork,#Va_rroa mite&s,2016,27.5,20.4,37.4,27.8
New %York,Varr@oa m^ites,2017,20.4,21.7,45.1,22.3
New York,Varro!a- m&i!tes,2018,25.3,40.8,40.7,26
New York,Varroa mites,2019,10.6,NA,30.7,33.3
New Yor+k,Var#r#oa$ mites,2020,6.6,21.2,18.2,19.2
New York,Varroa* mit-es,2021,15,35.8,NA,NA
North Carol#i*na,D!ises#ases,2015,0.1,0.3,0.7,0.5
North Carolina,Dise%s*a)se!s,2016,1.9,4.7,0.1,1.8
North( ^Ca_rolina,D(isesases,2017,0.2,2.3,3.3,3.9
Nor-t)h Carolina,!Di^ses&ases,2018,0.3,0.5,11.4,3.8
N-orth Carolina,Disesases,2019,0.2,NA,19.7,4.5
North Car@olina,Dise-sa&se!s,2020,4.8,1.9,NA,NA
N(orth* Ca+r^olina,Dise^s$as^es,2021,NA,NA,NA,NA
North C(arolin)a,Other,2015,6.2,5.8,5.7,5.4
No*rth Car!o*lin&a,O&ther,2016,4,8.3,13.4,12.5
N+orth Caroli&na,Othe)r,2017,7.2,5.1,7.6,11.7
North C$a@rolina,Othe$r,2018,13.4,14.6,11.4,11.1
North Carolina,Ot@he$r,2019,2.2,NA,9.7,15.7
North Carolina,Ot#her,2020,1.4,1.8,NA,0.6
Nort&h$ Carolina,Othe_r,2021,0.6,NA,NA,NA
North Caroli^na,Other +pests/parasites,2015,2.3,14.3,27.9,3.4
North Carolina,Other $pes!t+s/parasi@t^e$s,2016,2.5,23.5,13.4,7.7
Nort.h Carolina,O&th)er ^p*est!s/parasit*es,2017,17.4,5.5,36.1,16.3
North Caro#l+ina,Ot!her +p(es*ts/par&asites,2018,10.2,2.6,17.9,10.4
North Carolina,O(t*her pest)s/paras&ite+s,2019,2,NA,11.3,21
N#orth Caro+lina,Other. pe&sts/parasites,2020,7.1,5.5,17.9,14
Nor#th Carolina,Other _pe+sts/pa.ras%i!t+es,2021,7.3,3.5,NA,NA
North Carolina,Pestic$ide!s,2015,22.9,3.5,7.5,0.4
@North Ca%roli(na,Pes.t^icid!es,2016,2.7,33.8,2.9,NA
North Caro^lina,P-esticid.es,2017,1.5,0.8,20.3,1.5
North Carolina,Pesti^c(i!de@s,2018,0.3,2.4,8.4,2
North Car#olina,.Pe$sticid*es,2019,0.7,NA,4,2.4
North Car(olina,Pesti@cides,2020,0.6,NA,NA,5.1
North C-arolina,Pes(t@icid*es,2021,NA,NA,NA,NA
N&o!rth Carolina,Unknown,2015,12.2,3,8.5,3.4
